time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-13T17:50:15.015Z,44.7019,-112.5493,8.1,2.8,ml,,56,0.661,0.64,us,us700035gy,2019-04-13T19:57:02.040Z,"7km NNE of Lima, Montana",earthquake,1.3,11.5,0.046,62,reviewed,us,us
2019-04-13T17:03:13.454Z,7.0786,94.5392,10,4.5,mb,,102,3.018,0.68,us,us700035gr,2019-04-13T19:48:41.040Z,"157km NNW of Sabang, Indonesia",earthquake,9.2,1.9,0.091,37,reviewed,us,us
2019-04-13T17:01:14.150Z,-22.6763,-175.7399,10,4.9,mb,,116,8.624,0.74,us,us700035gt,2019-04-13T17:44:31.040Z,"169km SSW of `Ohonua, Tonga",earthquake,10.7,1.9,0.043,172,reviewed,us,us
2019-04-13T16:53:21.568Z,-6.4382,130.0443,138.82,4.8,mww,,69,1.975,0.99,us,us700035gm,2019-04-13T17:08:01.040Z,"218km NW of Saumlaki, Indonesia",earthquake,8,7.2,0.075,17,reviewed,us,us
2019-04-13T16:20:16.294Z,7.326,94.46,10,4.9,mb,,110,3.233,1.05,us,us700035gd,2019-04-13T16:40:03.040Z,"144km ESE of Mohean, India",earthquake,10.3,1.9,0.086,42,reviewed,us,us
2019-04-13T16:12:55.215Z,7.3889,94.5506,10,5.3,mww,,97,3.206,0.93,us,us700035g9,2019-04-13T16:32:49.040Z,"150km ESE of Mohean, India",earthquake,9.8,1.9,0.073,18,reviewed,us,us
2019-04-13T15:44:26.900Z,37.8668327,-122.2434998,11.49,2.85,md,68,32,,0.07,nc,nc73165280,2019-04-14T04:08:12.849Z,"3km ESE of Berkeley, CA",earthquake,0.14,0.27,0.17,43,automatic,nc,nc
2019-04-13T15:07:01.563Z,26.2282,129.5164,10,5,mb,,69,1.268,1.26,us,us700035fl,2019-04-14T02:13:26.695Z,"158km ESE of Nago, Japan",earthquake,6.5,1.9,0.095,35,reviewed,us,us
2019-04-13T13:56:35.470Z,40.4511681,-121.972168,11.47,2.7,md,24,42,0.1433,0.21,nc,nc73165255,2019-04-13T19:27:06.566Z,"8km WSW of Shingletown, CA",earthquake,0.42,1.52,0.11,28,automatic,nc,nc
2019-04-13T12:04:02.490Z,-5.0697,101.5666,33.34,4.7,mb,,184,1.553,0.92,us,us700035du,2019-04-13T12:23:39.040Z,"160km SSW of Bengkulu, Indonesia",earthquake,7.6,5.5,0.096,33,reviewed,us,us
